compang,dili,position,pay,level
['河南君和实业股份有限公司'],['郑州'],销售代表,8k-10k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],人事专员,2k-4k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],会计,2k-4k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],销售代表/业务员/销售助理,8k-10k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],储备干部,4k-6k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],市场经理/主管,6k-8k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],市场专员/助理,6k-8k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],劳资员,4k-6k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],预算员,4k-6k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],施工员,4k-6k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],资料员,4k-6k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],安装施工员,4k-6k,本科生毕业
['河南科建建设工程有限公司'],['郑州'],安全员,4k-6k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],人力资源专员/人事助理,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],生产主管/督导/组长,4k-6k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],汽车工艺/制程工程师,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],电子商务专员/助理,4k-6k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],IT工程师助理,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],顶岗实习生,4k-6k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],行政助理,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],电商运营专员,4k-6k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],营销专员/助理,4k-6k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],实习生,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],研发实习生,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],机械维修/保养工程师,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],人事专员/人事助理,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],生产统计员,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],生产计划员,2k-4k,专科生毕业
['河南恒发科技股份有限公司'],['新乡'],会计,2k-4k,本科生毕业
['河南恒发科技股份有限公司'],['新乡'],采购助理,2k-4k,本科生毕业
